,Pairs,source,target,Reaction
28496,C00071_C00138,C00071,C00138,R07158
28497,C00071_C00080,C00071,C00080,R07158
28498,C00001_C00060,C00001,C00060,R07158
28499,C00001_C00138,C00001,C00138,R07158
28500,C00001_C00080,C00001,C00080,R07158
28501,C00139_C00060,C00139,C00060,R07158
28502,C00139_C00138,C00139,C00138,R07158
28503,C00139_C00080,C00139,C00080,R07158
28504,C00118_C00197,C00118,C00197,R07159
28505,C00118_C00080,C00118,C00080,R07159
28506,C00118_C00138,C00118,C00138,R07159
28507,C00001_C00197,C00001,C00197,R07159
28508,C00001_C00080,C00001,C00080,R07159
28509,C00001_C00138,C00001,C00138,R07159
28510,C00139_C00197,C00139,C00197,R07159
28511,C00139_C00080,C00139,C00080,R07159
28512,C00139_C00138,C00139,C00138,R07159
28513,C00141_C00630,C00141,C00630,R07160
28514,C00141_C00011,C00141,C00011,R07160
28515,C00141_C00138,C00141,C00138,R07160
28516,C00141_C00080,C00141,C00080,R07160
28517,C00010_C00630,C00010,C00630,R07160
28518,C00010_C00011,C00010,C00011,R07160
28519,C00010_C00138,C00010,C00138,R07160
28520,C00010_C00080,C00010,C00080,R07160
28521,C00139_C00630,C00139,C00630,R07160
28522,C00139_C00011,C00139,C00011,R07160
28523,C00139_C00138,C00139,C00138,R07160
28524,C00139_C00080,C00139,C00080,R07160
28525,C00331_C15489,C00331,C15489,R07161
28526,C00331_C00011,C00331,C00011,R07161
28527,C00331_C00138,C00331,C00138,R07161
28528,C00010_C15489,C00010,C15489,R07161
28529,C00010_C00011,C00010,C00011,R07161
28530,C00010_C00138,C00010,C00138,R07161
28531,C00139_C15489,C00139,C15489,R07161
28532,C00139_C00011,C00139,C00011,R07161
28533,C00139_C00138,C00139,C00138,R07161
28534,C00040_C00658,C00040,C00658,R07162
28535,C00040_C00005,C00040,C00005,R07162
28536,C00040_C00080,C00040,C00080,R07162
28537,C00006_C00658,C00006,C00658,R07162
28538,C00006_C00005,C00006,C00005,R07162
28539,C00006_C00080,C00006,C00080,R07162
28540,C15492_C00473,C15492,C00473,R07163
28541,C15492_C00030,C15492,C00030,R07163
28542,C00028_C00473,C00028,C00473,R07163
28543,C00028_C00030,C00028,C00030,R07163
28544,C00049_C00036,C00049,C00036,R07164
28545,C00049_C00014,C00049,C00014,R07164
28546,C00049_C00004,C00049,C00004,R07164
28547,C00049_C00080,C00049,C00080,R07164
28548,C00001_C00036,C00001,C00036,R07164
28549,C00001_C00014,C00001,C00014,R07164
28550,C00001_C00004,C00001,C00004,R07164
28551,C00001_C00080,C00001,C00080,R07164
28552,C00003_C00036,C00003,C00036,R07164
28553,C00003_C00014,C00003,C00014,R07164
28554,C00003_C00004,C00003,C00004,R07164
28555,C00003_C00080,C00003,C00080,R07164
28556,C00049_C00036,C00049,C00036,R07165
28557,C00049_C00014,C00049,C00014,R07165
28558,C00049_C00005,C00049,C00005,R07165
28559,C00049_C00080,C00049,C00080,R07165
28560,C00001_C00036,C00001,C00036,R07165
28561,C00001_C00014,C00001,C00014,R07165
28562,C00001_C00005,C00001,C00005,R07165
28563,C00001_C00080,C00001,C00080,R07165
28564,C00006_C00036,C00006,C00036,R07165
28565,C00006_C00014,C00006,C00014,R07165
28566,C00006_C00005,C00006,C00005,R07165
28567,C00006_C00080,C00006,C00080,R07165
28568,C00405_C00161,C00405,C00161,R07166
28569,C00405_C00014,C00405,C00014,R07166
28570,C00405_C00030,C00405,C00030,R07166
28571,C00001_C00161,C00001,C00161,R07166
28572,C00001_C00014,C00001,C00014,R07166
28573,C00001_C00030,C00001,C00030,R07166
28574,C00028_C00161,C00028,C00161,R07166
28575,C00028_C00014,C00028,C00014,R07166
28576,C00028_C00030,C00028,C00030,R07166
28577,C00245_C00593,C00245,C00593,R07167
28578,C00245_C00014,C00245,C00014,R07167
28579,C00245_C00030,C00245,C00030,R07167
28580,C00001_C00593,C00001,C00593,R07167
28581,C00001_C00014,C00001,C00014,R07167
28582,C00001_C00030,C00001,C00030,R07167
28583,C00028_C00593,C00028,C00593,R07167
28584,C00028_C00014,C00028,C00014,R07167
28585,C00028_C00030,C00028,C00030,R07167
28586,C00440_C00143,C00440,C00143,R07168
28587,C00440_C00004,C00440,C00004,R07168
28588,C00440_C00080,C00440,C00080,R07168
28589,C00003_C00143,C00003,C00143,R07168
28590,C00003_C00004,C00003,C00004,R07168
28591,C00003_C00080,C00003,C00080,R07168
28592,C11818_C00757,C11818,C00757,R07169
28593,C11818_C00005,C11818,C00005,R07169
28594,C11818_C00080,C11818,C00080,R07169
28595,C00006_C00757,C00006,C00757,R07169
28596,C00006_C00005,C00006,C00005,R07169
28597,C00006_C00080,C00006,C00080,R07169
28598,C03043_C01297,C03043,C01297,R07170
28599,C03043_C00027,C03043,C00027,R07170
28600,C00001_C01297,C00001,C01297,R07170
28601,C00001_C00027,C00001,C00027,R07170
28602,C00007_C01297,C00007,C01297,R07170
28603,C00007_C00027,C00007,C00027,R07170
28604,C00004_C00003,C00004,C00003,R07171
28605,C00004_C00027,C00004,C00027,R07171
28606,C00080_C00003,C00080,C00003,R07171
28607,C00080_C00027,C00080,C00027,R07171
28608,C00007_C00003,C00007,C00003,R07171
28609,C00007_C00027,C00007,C00027,R07171
28610,C00005_C00006,C00005,C00006,R07172
28611,C00005_C00027,C00005,C00027,R07172
28612,C00080_C00006,C00080,C00006,R07172
28613,C00080_C00027,C00080,C00027,R07172
28614,C00007_C00006,C00007,C00006,R07172
28615,C00007_C00027,C00007,C00027,R07172
28616,C05361_C00697,C05361,C00697,R07174
28617,C05361_C00126,C05361,C00126,R07174
28618,C05361_C00080,C05361,C00080,R07174
28619,C00125_C00697,C00125,C00697,R07174
28620,C00125_C00126,C00125,C00126,R07174
28621,C00125_C00080,C00125,C00080,R07174
28622,C00010_C02015,C00010,C02015,R07175
28623,C00010_C00005,C00010,C00005,R07175
28624,C00010_C00080,C00010,C00080,R07175
28625,C00006_C02015,C00006,C02015,R07175
28626,C00006_C00005,C00006,C00005,R07175
28627,C00006_C00080,C00006,C00080,R07175
28628,C00020_C00224,C00020,C00224,R07176
28629,C00020_C00342,C00020,C00342,R07176
28630,C00094_C00224,C00094,C00224,R07176
28631,C00094_C00342,C00094,C00342,R07176
28632,C00343_C00224,C00343,C00224,R07176
28633,C00343_C00342,C00343,C00342,R07176
28634,C00320_C02084,C00320,C02084,R07177
28635,C00320_C15495,C00320,C15495,R07177
28636,C15494_C02084,C15494,C02084,R07177
28637,C15494_C15495,C15494,C15495,R07177
28638,C00080_C02084,C00080,C02084,R07177
28639,C00080_C15495,C00080,C15495,R07177
28640,C08614_C08579,C08614,C08579,R07178
28641,C08614_C05422,C08614,C05422,R07178
28642,C08614_C00001,C08614,C00001,R07178
28643,C00072_C08579,C00072,C08579,R07178
28644,C00072_C05422,C00072,C05422,R07178
28645,C00072_C00001,C00072,C00001,R07178
28646,C08579_C06098,C08579,C06098,R07179
28647,C08579_C05422,C08579,C05422,R07179
28648,C08579_C00001,C08579,C00001,R07179
28649,C00072_C06098,C00072,C06098,R07179
28650,C00072_C05422,C00072,C05422,R07179
28651,C00072_C00001,C00072,C00001,R07179
28652,C00282_C00005,C00282,C00005,R07181
28653,C00282_C00080,C00282,C00080,R07181
28654,C00006_C00005,C00006,C00005,R07181
28655,C00006_C00080,C00006,C00080,R07181
28656,C00282_C00030,C00282,C00030,R07182
28657,C00028_C00030,C00028,C00030,R07182
28658,C15499_C00033,C15499,C00033,R07183
28659,C15499_C00546,C15499,C00546,R07183
28660,C00007_C00033,C00007,C00033,R07183
28661,C00007_C00546,C00007,C00546,R07183
28662,C12308_C02034,C12308,C02034,R07184
28663,C12308_C00042,C12308,C00042,R07184
28664,C12308_C00011,C12308,C00011,R07184
28665,C00026_C02034,C00026,C02034,R07184
28666,C00026_C00042,C00026,C00042,R07184
28667,C00026_C00011,C00026,C00011,R07184
28668,C00007_C02034,C00007,C02034,R07184
28669,C00007_C00042,C00007,C00042,R07184
28670,C00007_C00011,C00007,C00011,R07184
28671,C15485_C15500,C15485,C15500,R07185
28672,C15485_C00042,C15485,C00042,R07185
28673,C15485_C00011,C15485,C00011,R07185
28674,C00026_C15500,C00026,C15500,R07185
28675,C00026_C00042,C00026,C00042,R07185
28676,C00026_C00011,C00026,C00011,R07185
28677,C00007_C15500,C00007,C15500,R07185
28678,C00007_C00042,C00007,C00042,R07185
28679,C00007_C00011,C00007,C00011,R07185
28680,C15500_C15501,C15500,C15501,R07186
28681,C15500_C00042,C15500,C00042,R07186
28682,C15500_C00011,C15500,C00011,R07186
28683,C00026_C15501,C00026,C15501,R07186
28684,C00026_C00042,C00026,C00042,R07186
28685,C00026_C00011,C00026,C00011,R07186
28686,C00007_C15501,C00007,C15501,R07186
28687,C00007_C00042,C00007,C00042,R07186
28688,C00007_C00011,C00007,C00011,R07186
28689,C15485_C15502,C15485,C15502,R07187
28690,C15485_C00042,C15485,C00042,R07187
28691,C15485_C00011,C15485,C00011,R07187
28692,C00026_C15502,C00026,C15502,R07187
28693,C00026_C00042,C00026,C00042,R07187
28694,C00026_C00011,C00026,C00011,R07187
28695,C00007_C15502,C00007,C15502,R07187
28696,C00007_C00042,C00007,C00042,R07187
28697,C00007_C00011,C00007,C00011,R07187
28698,C00180_C04634,C00180,C04634,R07188
28699,C00180_C00003,C00180,C00003,R07188
28700,C00004_C04634,C00004,C04634,R07188
28701,C00004_C00003,C00004,C00003,R07188
28702,C00080_C04634,C00080,C04634,R07188
28703,C00080_C00003,C00080,C00003,R07188
28704,C00007_C04634,C00007,C04634,R07188
28705,C00007_C00003,C00007,C00003,R07188
28706,C15503_C04350,C15503,C04350,R07190
28707,C15503_C00011,C15503,C00011,R07190
28708,C15503_C00001,C15503,C00001,R07190
28709,C15505_C03434,C15505,C03434,R07191
28710,C15505_C00006,C15505,C00006,R07191
28711,C15505_C00001,C15505,C00001,R07191
28712,C00005_C03434,C00005,C03434,R07191
28713,C00005_C00006,C00005,C00006,R07191
28714,C00005_C00001,C00005,C00001,R07191
28715,C00080_C03434,C00080,C03434,R07191
28716,C00080_C00006,C00080,C00006,R07191
28717,C00080_C00001,C00080,C00001,R07191
28718,C00007_C03434,C00007,C03434,R07191
28719,C00007_C00006,C00007,C00006,R07191
28720,C00007_C00001,C00007,C00001,R07191
28721,C11505_C15508,C11505,C15508,R07194
28722,C11505_C00003,C11505,C00003,R07194
28723,C11505_C00001,C11505,C00001,R07194
28724,C00004_C15508,C00004,C15508,R07194
28725,C00004_C00003,C00004,C00003,R07194
28726,C00004_C00001,C00004,C00001,R07194
28727,C00080_C15508,C00080,C15508,R07194
28728,C00080_C00003,C00080,C00003,R07194
28729,C00080_C00001,C00080,C00001,R07194
28730,C00007_C15508,C00007,C15508,R07194
28731,C00007_C00003,C00007,C00003,R07194
28732,C00007_C00001,C00007,C00001,R07194
28733,C15509_C10422,C15509,C10422,R07195
28734,C15509_C03161,C15509,C03161,R07195
28735,C15509_C00001,C15509,C00001,R07195
28736,C03024_C10422,C03024,C10422,R07195
28737,C03024_C03161,C03024,C03161,R07195
28738,C03024_C00001,C03024,C00001,R07195
28739,C00007_C10422,C00007,C10422,R07195
28740,C00007_C03161,C00007,C03161,R07195
28741,C00007_C00001,C00007,C00001,R07195
28742,C15509_C15511,C15509,C15511,R07196
28743,C15509_C03161,C15509,C03161,R07196
28744,C15509_C00001,C15509,C00001,R07196
28745,C03024_C15511,C03024,C15511,R07196
28746,C03024_C03161,C03024,C03161,R07196
28747,C03024_C00001,C03024,C00001,R07196
28748,C00007_C15511,C00007,C15511,R07196
28749,C00007_C03161,C00007,C03161,R07196
28750,C00007_C00001,C00007,C00001,R07196
28751,C15510_C01701,C15510,C01701,R07197
28752,C15510_C03161,C15510,C03161,R07197
28753,C15510_C00001,C15510,C00001,R07197
28754,C03024_C01701,C03024,C01701,R07197
28755,C03024_C03161,C03024,C03161,R07197
28756,C03024_C00001,C03024,C00001,R07197
28757,C00007_C01701,C00007,C01701,R07197
28758,C00007_C03161,C00007,C03161,R07197
28759,C00007_C00001,C00007,C00001,R07197
28760,C09762_C01592,C09762,C01592,R07198
28761,C09762_C03161,C09762,C03161,R07198
28762,C09762_C00001,C09762,C00001,R07198
28763,C03024_C01592,C03024,C01592,R07198
28764,C03024_C03161,C03024,C03161,R07198
28765,C03024_C00001,C03024,C00001,R07198
28766,C00007_C01592,C00007,C01592,R07198
28767,C00007_C03161,C00007,C03161,R07198
28768,C00007_C00001,C00007,C00001,R07198
28769,C15512_C15513,C15512,C15513,R07201
28770,C15512_C00006,C15512,C00006,R07201
28771,C15512_C00001,C15512,C00001,R07201
28772,C00005_C15513,C00005,C15513,R07201
28773,C00005_C00006,C00005,C00006,R07201
28774,C00005_C00001,C00005,C00001,R07201
28775,C00080_C15513,C00080,C15513,R07201
28776,C00080_C00006,C00080,C00006,R07201
28777,C00080_C00001,C00080,C00001,R07201
28778,C00007_C15513,C00007,C15513,R07201
28779,C00007_C00006,C00007,C00006,R07201
28780,C00007_C00001,C00007,C00001,R07201
28781,C06082_C15514,C06082,C15514,R07202
28782,C06082_C03161,C06082,C03161,R07202
28783,C06082_C00001,C06082,C00001,R07202
28784,C03024_C15514,C03024,C15514,R07202
28785,C03024_C03161,C03024,C03161,R07202
28786,C03024_C00001,C03024,C00001,R07202
28787,C00007_C15514,C00007,C15514,R07202
28788,C00007_C03161,C00007,C03161,R07202
28789,C00007_C00001,C00007,C00001,R07202
28790,C03990_C15515,C03990,C15515,R07203
28791,C03990_C03161,C03990,C03161,R07203
28792,C03990_C00001,C03990,C00001,R07203
28793,C03024_C15515,C03024,C15515,R07203
28794,C03024_C03161,C03024,C03161,R07203
28795,C03024_C00001,C03024,C00001,R07203
28796,C00007_C15515,C00007,C15515,R07203
28797,C00007_C03161,C00007,C03161,R07203
28798,C00007_C00001,C00007,C00001,R07203
28799,C05452_C05454,C05452,C05454,R07204
28800,C05452_C03161,C05452,C03161,R07204
28801,C05452_C00001,C05452,C00001,R07204
28802,C03024_C05454,C03024,C05454,R07204
28803,C03024_C03161,C03024,C03161,R07204
28804,C03024_C00001,C03024,C00001,R07204
28805,C00007_C05454,C00007,C05454,R07204
28806,C00007_C03161,C00007,C03161,R07204
28807,C00007_C00001,C00007,C00001,R07204
28808,C05465_C15516,C05465,C15516,R07205
28809,C05465_C03161,C05465,C03161,R07205
28810,C05465_C00001,C05465,C00001,R07205
28811,C03024_C15516,C03024,C15516,R07205
28812,C03024_C03161,C03024,C03161,R07205
28813,C03024_C00001,C03024,C00001,R07205
28814,C00007_C15516,C00007,C15516,R07205
28815,C00007_C03161,C00007,C03161,R07205
28816,C00007_C00001,C00007,C00001,R07205
28817,C03990_C15517,C03990,C15517,R07206
28818,C03990_C03161,C03990,C03161,R07206
28819,C03990_C00001,C03990,C00001,R07206
28820,C03024_C15517,C03024,C15517,R07206
28821,C03024_C03161,C03024,C03161,R07206
28822,C03024_C00001,C03024,C00001,R07206
28823,C00007_C15517,C00007,C15517,R07206
28824,C00007_C03161,C00007,C03161,R07206
28825,C00007_C00001,C00007,C00001,R07206
28826,C00187_C13550,C00187,C13550,R07207
28827,C00187_C03161,C00187,C03161,R07207
28828,C00187_C00001,C00187,C00001,R07207
28829,C03024_C13550,C03024,C13550,R07207
28830,C03024_C03161,C03024,C03161,R07207
28831,C03024_C00001,C03024,C00001,R07207
28832,C00007_C13550,C00007,C13550,R07207
28833,C00007_C03161,C00007,C03161,R07207
28834,C00007_C00001,C00007,C00001,R07207
28835,C13550_C15518,C13550,C15518,R07208
28836,C13550_C03161,C13550,C03161,R07208
28837,C13550_C00001,C13550,C00001,R07208
28838,C03024_C15518,C03024,C15518,R07208
28839,C03024_C03161,C03024,C03161,R07208
28840,C03024_C00001,C03024,C00001,R07208
28841,C00007_C15518,C00007,C15518,R07208
28842,C00007_C03161,C00007,C03161,R07208
28843,C00007_C00001,C00007,C00001,R07208
28844,C15519_C15520,C15519,C15520,R07209
28845,C15519_C03161,C15519,C03161,R07209
28846,C15519_C00001,C15519,C00001,R07209
28847,C03024_C15520,C03024,C15520,R07209
28848,C03024_C03161,C03024,C03161,R07209
28849,C03024_C00001,C03024,C00001,R07209
28850,C00007_C15520,C00007,C15520,R07209
28851,C00007_C03161,C00007,C03161,R07209
28852,C00007_C00001,C00007,C00001,R07209
28853,C15521_C00071,C15521,C00071,R07210
28854,C15521_C00061,C15521,C00061,R07210
28855,C15521_C00094,C15521,C00094,R07210
28856,C15521_C00001,C15521,C00001,R07210
28857,C01847_C00071,C01847,C00071,R07210
28858,C01847_C00061,C01847,C00061,R07210
28859,C01847_C00094,C01847,C00094,R07210
28860,C01847_C00001,C01847,C00001,R07210
28861,C00007_C00071,C00007,C00071,R07210
28862,C00007_C00061,C00007,C00061,R07210
28863,C00007_C00094,C00007,C00094,R07210
28864,C00007_C00001,C00007,C00001,R07210
28865,C00079_C00082,C00079,C00082,R07211
28866,C00079_C15522,C00079,C15522,R07211
28867,C00272_C00082,C00272,C00082,R07211
28868,C00272_C15522,C00272,C15522,R07211
28869,C00007_C00082,C00007,C00082,R07211
28870,C00007_C15522,C00007,C15522,R07211
28871,C00082_C00355,C00082,C00355,R07212
28872,C00082_C15522,C00082,C15522,R07212
28873,C00272_C00355,C00272,C00355,R07212
28874,C00272_C15522,C00272,C15522,R07212
28875,C00007_C00355,C00007,C00355,R07212
28876,C00007_C15522,C00007,C15522,R07212
28877,C00078_C00643,C00078,C00643,R07213
28878,C00078_C15522,C00078,C15522,R07213
28879,C00272_C00643,C00272,C00643,R07213
28880,C00272_C15522,C00272,C15522,R07213
28881,C00007_C00643,C00007,C00643,R07213
28882,C00007_C15522,C00007,C15522,R07213
28883,C01234_C06547,C01234,C06547,R07214
28884,C01234_C00177,C01234,C00177,R07214
28885,C01234_C05422,C01234,C05422,R07214
28886,C01234_C00011,C01234,C00011,R07214
28887,C01234_C00001,C01234,C00001,R07214
28888,C01234_C00080,C01234,C00080,R07214
28889,C00072_C06547,C00072,C06547,R07214
28890,C00072_C00177,C00072,C00177,R07214
28891,C00072_C05422,C00072,C05422,R07214
28892,C00072_C00011,C00072,C00011,R07214
28893,C00072_C00001,C00072,C00001,R07214
28894,C00072_C00080,C00072,C00080,R07214
28895,C00007_C06547,C00007,C06547,R07214
28896,C00007_C00177,C00007,C00177,R07214
28897,C00007_C05422,C00007,C05422,R07214
28898,C00007_C00011,C00007,C00011,R07214
28899,C00007_C00001,C00007,C00001,R07214
28900,C00007_C00080,C00007,C00080,R07214
28901,C01189_C01164,C01189,C01164,R07215
28902,C01189_C00996,C01189,C00996,R07215
28903,C01189_C00001,C01189,C00001,R07215
28904,C00999_C01164,C00999,C01164,R07215
28905,C00999_C00996,C00999,C00996,R07215
28906,C00999_C00001,C00999,C00001,R07215
28907,C00007_C01164,C00007,C01164,R07215
28908,C00007_C00996,C00007,C00996,R07215
28909,C00007_C00001,C00007,C00001,R07215
28910,C00080_C01164,C00080,C01164,R07215
28911,C00080_C00996,C00080,C00996,R07215
28912,C00080_C00001,C00080,C00001,R07215
28913,C02593_C06736,C02593,C06736,R07216
28914,C02593_C00006,C02593,C00006,R07216
28915,C02593_C00001,C02593,C00001,R07216
28916,C00005_C06736,C00005,C06736,R07216
28917,C00005_C00006,C00005,C00006,R07216
28918,C00005_C00001,C00005,C00001,R07216
28919,C00080_C06736,C00080,C06736,R07216
28920,C00080_C00006,C00080,C00006,R07216
28921,C00080_C00001,C00080,C00001,R07216
28922,C00007_C06736,C00007,C06736,R07216
28923,C00007_C00006,C00007,C00006,R07216
28924,C00007_C00001,C00007,C00001,R07216
28925,C02593_C06737,C02593,C06737,R07217
28926,C02593_C00006,C02593,C00006,R07217
28927,C02593_C00001,C02593,C00001,R07217
28928,C00005_C06737,C00005,C06737,R07217
28929,C00005_C00006,C00005,C00006,R07217
28930,C00005_C00001,C00005,C00001,R07217
28931,C00080_C06737,C00080,C06737,R07217
28932,C00080_C00006,C00080,C00006,R07217
28933,C00080_C00001,C00080,C00001,R07217
28934,C00007_C06737,C00007,C06737,R07217
28935,C00007_C00006,C00007,C00006,R07217
28936,C00007_C00001,C00007,C00001,R07217
28937,C00187_C15519,C00187,C15519,R07218
28938,C00187_C00028,C00187,C00028,R07218
28939,C00187_C00001,C00187,C00001,R07218
28940,C00030_C15519,C00030,C15519,R07218
28941,C00030_C00028,C00030,C00028,R07218
28942,C00030_C00001,C00030,C00001,R07218
28943,C00007_C15519,C00007,C15519,R07218
28944,C00007_C00028,C00007,C00028,R07218
28945,C00007_C00001,C00007,C00001,R07218
28946,C04483_C00695,C04483,C00695,R07220
28947,C04483_C01352,C04483,C01352,R07220
28948,C00016_C00695,C00016,C00695,R07220
28949,C00016_C01352,C00016,C01352,R07220
28950,C00001_C00695,C00001,C00695,R07220
28951,C00001_C01352,C00001,C01352,R07220
28952,C01020_C15523,C01020,C15523,R07221
28953,C01020_C00027,C01020,C00027,R07221
28954,C00001_C15523,C00001,C15523,R07221
28955,C00001_C00027,C00001,C00027,R07221
28956,C00007_C15523,C00007,C15523,R07221
28957,C00007_C00027,C00007,C00027,R07221
28958,C00582_C15524,C00582,C15524,R07222
28959,C00582_C15603,C00582,C15603,R07222
28960,C00001_C15524,C00001,C15524,R07222
28961,C00001_C15603,C00001,C15603,R07222
28962,C15602_C15524,C15602,C15524,R07222
28963,C15602_C15603,C15602,C15603,R07222
28964,C06561_C08576,C06561,C08576,R07224
28965,C06561_C00001,C06561,C00001,R07224
28966,C00007_C08576,C00007,C08576,R07224
28967,C00007_C00001,C00007,C00001,R07224
28968,C15525_C08576,C15525,C08576,R07225
28969,C15525_C00001,C15525,C00001,R07225
28970,C00007_C08576,C00007,C08576,R07225
28971,C00007_C00001,C00007,C00001,R07225
28972,C00227_C00037,C00227,C00037,R07226
28973,C00227_C00009,C00227,C00009,R07226
28974,C00227_C00342,C00227,C00342,R07226
28975,C00014_C00037,C00014,C00037,R07226
28976,C00014_C00009,C00014,C00009,R07226
28977,C00014_C00342,C00014,C00342,R07226
28978,C00343_C00037,C00343,C00037,R07226
28979,C00343_C00009,C00343,C00009,R07226
28980,C00343_C00342,C00343,C00342,R07226
28981,C00001_C00037,C00001,C00037,R07226
28982,C00001_C00009,C00001,C00009,R07226
28983,C00001_C00342,C00001,C00342,R07226
28984,C00227_C00213,C00227,C00213,R07227
28985,C00227_C00009,C00227,C00009,R07227
28986,C00227_C00342,C00227,C00342,R07227
28987,C00218_C00213,C00218,C00213,R07227
28988,C00218_C00009,C00218,C00009,R07227
28989,C00218_C00342,C00218,C00342,R07227
28990,C00343_C00213,C00343,C00213,R07227
28991,C00343_C00009,C00343,C00009,R07227
28992,C00343_C00342,C00343,C00342,R07227
28993,C00001_C00213,C00001,C00213,R07227
28994,C00001_C00009,C00001,C00009,R07227
28995,C00001_C00342,C00001,C00342,R07227
28996,C00227_C00719,C00227,C00719,R07228
28997,C00227_C00009,C00227,C00009,R07228
28998,C00227_C00342,C00227,C00342,R07228
28999,C00565_C00719,C00565,C00719,R07228
29000,C00565_C00009,C00565,C00009,R07228
29001,C00565_C00342,C00565,C00342,R07228
29002,C00343_C00719,C00343,C00719,R07228
29003,C00343_C00009,C00343,C00009,R07228
29004,C00343_C00342,C00343,C00342,R07228
29005,C00001_C00719,C00001,C00719,R07228
29006,C00001_C00009,C00001,C00009,R07228
29007,C00001_C00342,C00001,C00342,R07228
29008,C05684_C05697,C05684,C05697,R07229
29009,C05684_C00030,C05684,C00030,R07229
29010,C00001_C05697,C00001,C05697,R07229
29011,C00001_C00030,C00001,C00030,R07229
29012,C00028_C05697,C00028,C05697,R07229
29013,C00028_C00030,C00028,C00030,R07229
29014,C00080_C05697,C00080,C05697,R07229
29015,C00080_C00030,C00080,C00030,R07229
29016,C07639_C01829,C07639,C01829,R07230
29017,C07639_C00030,C07639,C00030,R07230
29018,C00708_C01829,C00708,C01829,R07230
29019,C00708_C00030,C00708,C00030,R07230
29020,C00028_C01829,C00028,C01829,R07230
29021,C00028_C00030,C00028,C00030,R07230
29022,C00080_C01829,C00080,C01829,R07230
29023,C00080_C00030,C00080,C00030,R07230
29024,C00019_C00021,C00019,C00021,R07232
29025,C00019_C04154,C00019,C04154,R07232
29026,C20648_C00021,C20648,C00021,R07232
29027,C20648_C04154,C20648,C04154,R07232
29028,C00019_C00021,C00019,C00021,R07233
29029,C00019_C04152,C00019,C04152,R07233
29030,C00240_C00021,C00240,C00021,R07233
29031,C00240_C04152,C00240,C04152,R07233
29032,C00019_C00021,C00019,C00021,R07234
29033,C00019_C04153,C00019,C04153,R07234
29034,C00240_C00021,C00240,C00021,R07234
29035,C00240_C04153,C00240,C04153,R07234
29036,C00019_C00021,C00019,C00021,R07236
29037,C00019_C02477,C00019,C02477,R07236
29038,C02483_C00021,C02483,C00021,R07236
29039,C02483_C02477,C02483,C02477,R07236
29040,C00019_C00021,C00019,C00021,R07237
29041,C00019_C15527,C00019,C15527,R07237
29042,C01051_C00021,C01051,C00021,R07237
29043,C01051_C15527,C01051,C15527,R07237
29044,C00019_C00021,C00019,C00021,R07238
29045,C00019_C02463,C00019,C02463,R07238
29046,C15527_C00021,C15527,C00021,R07238
29047,C15527_C02463,C15527,C02463,R07238
29048,C00019_C00021,C00019,C00021,R07239
29049,C00019_C15529,C00019,C15529,R07239
29050,C15528_C00021,C15528,C00021,R07239
29051,C15528_C15529,C15528,C15529,R07239
29052,C00019_C00021,C00019,C00021,R07240
29053,C00019_C10478,C00019,C10478,R07240
29054,C10469_C00021,C10469,C00021,R07240
29055,C10469_C10478,C10469,C10478,R07240
29056,C00019_C00021,C00019,C00021,R07241
29057,C00019_C15530,C00019,C15530,R07241
29058,C00019_C00006,C00019,C00006,R07241
29059,C05315_C00021,C05315,C00021,R07241
29060,C05315_C15530,C05315,C15530,R07241
29061,C05315_C00006,C05315,C00006,R07241
29062,C00005_C00021,C00005,C00021,R07241
29063,C00005_C15530,C00005,C15530,R07241
29064,C00005_C00006,C00005,C00006,R07241
29065,C00080_C00021,C00080,C00021,R07241
29066,C00080_C15530,C00080,C15530,R07241
29067,C00080_C00006,C00080,C00006,R07241
29068,C00019_C00021,C00019,C00021,R07242
29069,C00019_C15531,C00019,C15531,R07242
29070,C08650_C00021,C08650,C00021,R07242
29071,C08650_C15531,C08650,C15531,R07242
29072,C00019_C00021,C00019,C00021,R07243
29073,C00019_C01026,C00019,C01026,R07243
29074,C00213_C00021,C00213,C00021,R07243
29075,C00213_C01026,C00213,C01026,R07243
29076,C00019_C00021,C00019,C00021,R07244
29077,C00019_C00719,C00019,C00719,R07244
29078,C01026_C00021,C01026,C00021,R07244
29079,C01026_C00719,C01026,C00719,R07244
29080,C00169_C00009,C00169,C00009,R07245
29081,C00169_C15532,C00169,C15532,R07245
29082,C00437_C00009,C00437,C00009,R07245
29083,C00437_C15532,C00437,C15532,R07245
29084,C00188_C00084,C00188,C00084,R07247
29085,C00188_C15533,C00188,C15533,R07247
29086,C15488_C00084,C15488,C00084,R07247
29087,C15488_C15533,C15488,C15533,R07247
29088,C04218_C01083,C04218,C01083,R07248
29089,C04218_C04465,C04218,C04465,R07248
29090,C00024_C00010,C00024,C00010,R07249
29091,C00024_C08721,C00024,C08721,R07249
29092,C04466_C00010,C04466,C00010,R07249
29093,C04466_C08721,C04466,C08721,R07249
29094,C00083_C00010,C00083,C00010,R07250
29095,C00083_C12093,C00083,C12093,R07250
29096,C00083_C00011,C00083,C00011,R07250
29097,C00083_C00001,C00083,C00001,R07250
29098,C12092_C00010,C12092,C00010,R07250
29099,C12092_C12093,C12092,C12093,R07250
29100,C12092_C00011,C12092,C00011,R07250
29101,C12092_C00001,C12092,C00001,R07250
29102,C00083_C21108,C00083,C21108,R07251
29103,C00083_C00010,C00083,C00010,R07251
