,Pairs,source,target,Reaction
3955,C00101_C00004,C00101,C00004,R00936
3956,C00101_C00080,C00101,C00080,R00936
3957,C00003_C00415,C00003,C00415,R00936
3958,C00003_C00004,C00003,C00004,R00936
3959,C00003_C00080,C00003,C00080,R00936
3960,C00101_C00504,C00101,C00504,R00937
3961,C00101_C00004,C00101,C00004,R00937
3962,C00101_C00080,C00101,C00080,R00937
3963,C00003_C00504,C00003,C00504,R00937
3964,C00003_C00004,C00003,C00004,R00937
3965,C00003_C00080,C00003,C00080,R00937
3966,C00101_C00415,C00101,C00415,R00939
3967,C00101_C00005,C00101,C00005,R00939
3968,C00101_C00080,C00101,C00080,R00939
3969,C00006_C00415,C00006,C00415,R00939
3970,C00006_C00005,C00006,C00005,R00939
3971,C00006_C00080,C00006,C00080,R00939
3972,C00101_C00504,C00101,C00504,R00940
3973,C00101_C00005,C00101,C00005,R00940
3974,C00101_C00080,C00101,C00080,R00940
3975,C00006_C00504,C00006,C00504,R00940
3976,C00006_C00005,C00006,C00005,R00940
3977,C00006_C00080,C00006,C00080,R00940
3978,C00234_C00101,C00234,C00101,R00941
3979,C00234_C00011,C00234,C00011,R00941
3980,C00234_C00005,C00234,C00005,R00941
3981,C00234_C00080,C00234,C00080,R00941
3982,C00006_C00101,C00006,C00101,R00941
3983,C00006_C00011,C00006,C00011,R00941
3984,C00006_C00005,C00006,C00005,R00941
3985,C00006_C00080,C00006,C00080,R00941
3986,C00001_C00101,C00001,C00101,R00941
3987,C00001_C00011,C00001,C00011,R00941
3988,C00001_C00005,C00001,C00005,R00941
3989,C00001_C00080,C00001,C00080,R00941
3990,C00002_C00008,C00002,C00008,R00942
3991,C00002_C00009,C00002,C00009,R00942
3992,C00002_C09332,C00002,C09332,R00942
3993,C00101_C00008,C00101,C00008,R00942
3994,C00101_C00009,C00101,C00009,R00942
3995,C00101_C09332,C00101,C09332,R00942
3996,C00025_C00008,C00025,C00008,R00942
3997,C00025_C00009,C00025,C00009,R00942
3998,C00025_C09332,C00025,C09332,R00942
3999,C00101_C00008,C00101,C00008,R00943
4000,C00101_C00009,C00101,C00009,R00943
4001,C00101_C00234,C00101,C00234,R00943
4002,C00058_C00008,C00058,C00008,R00943
4003,C00058_C00009,C00058,C00009,R00943
4004,C00058_C00234,C00058,C00234,R00943
4005,C00002_C00008,C00002,C00008,R00943
4006,C00002_C00009,C00002,C00009,R00943
4007,C00002_C00234,C00002,C00234,R00943
4008,C00234_C00058,C00234,C00058,R00944
4009,C00234_C00101,C00234,C00101,R00944
4010,C00001_C00058,C00001,C00058,R00944
4011,C00001_C00101,C00001,C00101,R00944
4012,C00143_C00101,C00143,C00101,R00945
4013,C00143_C00065,C00143,C00065,R00945
4014,C00037_C00101,C00037,C00101,R00945
4015,C00037_C00065,C00037,C00065,R00945
4016,C00001_C00101,C00001,C00101,R00945
4017,C00001_C00065,C00001,C00065,R00945
4018,C00440_C00101,C00440,C00101,R00946
4019,C00440_C00073,C00440,C00073,R00946
4020,C00155_C00101,C00155,C00101,R00946
4021,C00155_C00073,C00155,C00073,R00946
4022,C00103_C00267,C00103,C00267,R00947
4023,C00103_C00009,C00103,C00009,R00947
4024,C00001_C00267,C00001,C00267,R00947
4025,C00001_C00009,C00001,C00009,R00947
4026,C00002_C00013,C00002,C00013,R00948
4027,C00002_C00498,C00002,C00498,R00948
4028,C00103_C00013,C00103,C00013,R00948
4029,C00103_C00498,C00103,C00498,R00948
4030,C00002_C00008,C00002,C00008,R00949
4031,C00002_C01231,C00002,C01231,R00949
4032,C00103_C00008,C00103,C00008,R00949
4033,C00103_C01231,C00103,C01231,R00949
4034,C00498_C00020,C00498,C00020,R00951
4035,C00498_C00103,C00498,C00103,R00951
4036,C00001_C00020,C00001,C00020,R00951
4037,C00001_C00103,C00001,C00103,R00951
4038,C00185_C00103,C00185,C00103,R00952
4039,C00185_C00031,C00185,C00031,R00952
4040,C00009_C00103,C00009,C00103,R00952
4041,C00009_C00031,C00009,C00031,R00952
4042,C02048_C00031,C02048,C00031,R00953
4043,C02048_C00103,C02048,C00103,R00953
4044,C00009_C00031,C00009,C00031,R00953
4045,C00009_C00103,C00009,C00103,R00953
4046,C00044_C00013,C00044,C00013,R00954
4047,C00044_C00394,C00044,C00394,R00954
4048,C00103_C00013,C00103,C00013,R00954
4049,C00103_C00394,C00103,C00394,R00954
4050,C00029_C00103,C00029,C00103,R00955
4051,C00029_C00052,C00029,C00052,R00955
4052,C00446_C00103,C00446,C00103,R00955
