,Entry,Names,Formula,Exact Mass,Mol Weight,SMILES,Local Total In/Out-Degree(0.1 - 1.0),Reactions,ChEBI,PubChem,Reference,N,P,X,Mn,W,S,B,R,Mo,H,Fe,Co,Ni,As,Mg,Na,Se,Br,Hg,C,Cl,O,I,F,polymer,mol_weight
7422,C20888,"[""Cellobionate"", ""Cellobionic acid"", ""4-O-beta-D-Glucopyranosyl-D-gluconate""]",C12H22O12,358.1111,358.2959,O=C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,"[[39, 39], [40, 40], [40, 40], [40, 40], [41, 41], [41, 41], [41, 41], [41, 41], [41, 41], [41, 41]]","[""R10832""]",[],"[""254741351""]","""""",0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,358.296
7423,C20889,"[""D-Galactaro-1,5-lactone""]",C6H8O7,192.027,192.1235,O=C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@H]1O,"[[9, 9], [9, 9], [9, 9], [9, 9], [9, 9], [9, 9], [9, 9], [9, 9], [9, 9], [9, 9]]","[""R10841"", ""R10846""]",[],"[""254741352""]","""""",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,192.124
7424,C20890,"[""D-Glucaro-1,5-lactone""]",C6H8O7,192.027,192.1235,O=C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,"[[10, 10], [12, 12], [12, 12], [14, 14], [16, 16], [16, 16], [16, 16], [16, 16], [16, 16], [16, 16]]","[""R10842""]",[],"[""254741353""]","""""",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,192.124
7425,C20891,"[""Isoxazolin-5-one"", ""5-Hydroxyisoxazole""]",C3H3NO2,85.0164,85.0614,O=c1cc[nH]o1,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]","[""R10839"", ""R10840""]",[],"[""254741354""]","""""",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,85.064
7426,C20892,"[""3-(5-Oxoisoxazolin-2-yl)-L-alanine"", ""beta-(Isoxazolin-5-on-2-yl)-L-alanine""]",C6H8N2O4,172.0484,172.1387,N[C@@H](Cn1ccc(=O)o1)C(=O)O,"[[17, 17], [18, 18], [23, 23], [24, 24], [25, 25], [25, 25], [25, 25], [25, 25], [25, 25], [25, 25]]","[""R10839""]",[],"[""254741355""]","""""",2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,172.144
7427,C20893,"[""3-(5-Oxoisoxazolin-4-yl)-L-alanine"", ""beta-(Isoxazolin-5-on-4-yl)-L-alanine""]",C6H8N2O4,172.0484,172.1387,N[C@@H](Cc1c[nH]oc1=O)C(=O)O,"[[17, 17], [18, 18], [23, 23], [24, 24], [25, 25], [25, 25], [25, 25], [25, 25], [25, 25], [25, 25]]","[""R10840""]",[],"[""254741356""]","""""",2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,172.144
7428,C20894,"[""beta-Citraurin"", ""3-Hydroxy-beta-apo-8'-carotenal"", ""3beta-Hydroxy-8'-apo-beta-carotenal""]",C30H40O2,432.3028,432.6374,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C=O)C(C)(C)C[C@H](O)C1,"[[14, 14], [15, 15], [17, 17], [17, 17], [18, 18], [18, 18], [18, 18], [18, 18], [18, 18], [18, 18]]","[""R10843"", ""R10844""]",[],"[""254741357""]","""""",0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,30,0,2,0,0,0,432.62
7429,C20895,"[""(2S,3S)-3-Methylphenylalanine""]",C10H13NO2,179.0946,179.2157,C[C@@H](c1ccccc1)[C@H](N)C(=O)O,"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1]]","[""R10845""]",[],"[""254741358""]","""""",1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,179.214
7430,C20896,"[""D-Galactaro-1,4-lactone""]",C6H8O7,192.027,192.1235,O=C(O)[C@@H](O)[C@@H]1OC(=O)[C@H](O)[C@H]1O,"[[8, 8], [8, 8], [8, 8], [8, 8], [8, 8], [8, 8], [8, 8], [8, 8], [8, 8], [8, 8]]","[""R10846"", ""R10847""]","[""85532""]","[""254741359""]","""""",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,192.124
7431,C20897,"[""Glycerophosphoglycoglycerolipid"", ""(sn-Gro-1-P)-&gt;6Glc-alpha1-&gt;2Glc-alpha1-&gt;3acyl2Gro"", ""(sn-Gro-1-P)-&gt;6Glcalpha1-&gt;2Glcalpha1-&gt;3acyl2Gro"", ""1,2-Diacyl-3-[6''-(sn-glycero-1-phospho-)-alpha-D-kojibiosyl]-sn-glycerol""]",C20H33O20PR2,"""""","""""",*C(=O)OC[C@H](CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@H]1O[C@H](COP(=O)(O)OC[C@@H](O)CO)[C@@H](O)[C@H](O)[C@H]1O)OC(*)=O,"[[1, 1], [1, 1], [2, 2], [2, 2], [2, 2], [13, 13], [13, 13], [14, 14], [14, 14], [14, 14]]","[""R10849"", ""R10864""]",[],"[""254741360""]","""""",0,1,0,0,0,0,0,2,0,33,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,624.434
