,Pairs,source,target,Reaction,RPAIR_main
3449,C00004_C00014,C00004,C00014,R00823,2
3450,C00004_C00011,C00004,C00011,R00823,2
3451,C00003_C00004,C00004,C00003,R00823,1
3452,C00080_C00090,C00080,C00090,R00823,2
3453,C00014_C00080,C00080,C00014,R00823,2
3454,C00011_C00080,C00080,C00011,R00823,2
3455,C00003_C00080,C00080,C00003,R00823,2
3456,C00090_C00108,C00108,C00090,R00825,2
3457,C00014_C00108,C00108,C00014,R00825,0
3458,C00011_C00108,C00108,C00011,R00825,0
3459,C00006_C00108,C00108,C00006,R00825,2
3460,C00007_C00090,C00007,C00090,R00825,0
3461,C00007_C00014,C00007,C00014,R00825,2
3462,C00007_C00011,C00007,C00011,R00825,0
3463,C00006_C00007,C00007,C00006,R00825,2
3464,C00005_C00090,C00005,C00090,R00825,2
3465,C00005_C00014,C00005,C00014,R00825,2
3466,C00005_C00011,C00005,C00011,R00825,2
3467,C00005_C00006,C00005,C00006,R00825,1
3468,C00080_C00090,C00080,C00090,R00825,2
3469,C00014_C00080,C00080,C00014,R00825,2
3470,C00011_C00080,C00080,C00011,R00825,2
3471,C00006_C00080,C00080,C00006,R00825,2
3472,C00019_C00021,C00019,C00021,R00827,1
3473,C00019_C01502,C00019,C01502,R00827,0
3474,C00021_C00090,C00090,C00021,R00827,2
3475,C00090_C01502,C00090,C01502,R00827,1
3476,C00090_C01988,C01988,C00090,R00828,1
3477,C00088_C01988,C01988,C00088,R00828,0
3478,C00006_C01988,C01988,C00006,R00828,2
3479,C00001_C01988,C01988,C00001,R00828,2
3480,C00007_C00090,C00007,C00090,R00828,0
3481,C00007_C00088,C00007,C00088,R00828,2
3482,C00006_C00007,C00007,C00006,R00828,2
3483,C00001_C00007,C00007,C00001,R00828,0
3484,C00005_C00090,C00005,C00090,R00828,2
3485,C00005_C00088,C00005,C00088,R00828,2
3486,C00005_C00006,C00005,C00006,R00828,1
3487,C00001_C00005,C00005,C00001,R00828,2
3488,C00080_C00090,C00080,C00090,R00828,2
3489,C00080_C00088,C00080,C00088,R00828,2
3490,C00006_C00080,C00080,C00006,R00828,2
3491,C00001_C00080,C00080,C00001,R00828,2
3492,C00010_C00091,C00091,C00010,R00829,1
3493,C00091_C02232,C00091,C02232,R00829,0
3494,C00010_C00024,C00024,C00010,R00829,1
3495,C00024_C02232,C00024,C02232,R00829,1
3496,C00091_C00430,C00091,C00430,R00830,0
3497,C00010_C00091,C00091,C00010,R00830,1
3498,C00011_C00091,C00091,C00011,R00830,2
3499,C00037_C00430,C00037,C00430,R00830,1
3500,C00010_C00037,C00037,C00010,R00830,2
3501,C00011_C00037,C00037,C00011,R00830,0
3502,C00010_C00091,C00091,C00010,R00832,1
3503,C00091_C03296,C00091,C03296,R00832,0
3504,C00010_C00062,C00062,C00010,R00832,2
3505,C00062_C03296,C00062,C03296,R00832,1
3506,C00091_C01213,C01213,C00091,R00833,2
3507,C00092_C01096,C01096,C00092,R00834,2
