Entry,Name,Formula,Exact mass,Mol weight,Structure Url,Canonical SMILES,AddHs SMILES,Reaction Number,Pathway Number,Module Number,Enzyme Class Number,PubChem Id,ChEBI Id,Reference,Family
C00876,Coenzyme F420,,,,,C[C@H](OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(O)cc21)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,,17,,,,4132,"[""16848""]","""""",Double
C01080,Reduced coenzyme F420,,,,,C[C@H](OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)CN1c2cc(O)ccc2Cc2c1[nH]c(=O)[nH]c2=O)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,,15,,,,4318,"[""15823""]","""""",Double
C04488,"5-Methyl-5,6,7,8-tetrahydromethanopterin",,,,,C[C@@H]1Nc2nc(N)[nH]c(=O)c2N(C)[C@H]1[C@@H](C)Nc1ccc(C[C@H](O)[C@H](O)[C@H](O)CO[C@H]2O[C@H](COP(=O)(O)O[C@@H](CCC(=O)O)C(=O)O)[C@@H](O)[C@H]2O)cc1,,3,,,,7107,[],"""""",Double
C01217,"5,6,7,8-Tetrahydromethanopterin",,,,,C[C@@H]1Nc2nc(N)[nH]c(=O)c2N[C@H]1[C@@H](C)Nc1ccc(C[C@H](O)[C@H](O)[C@H](O)CO[C@H]2O[C@H](COP(=O)(O)O[C@@H](CCC(=O)O)C(=O)O)[C@@H](O)[C@H]2O)cc1,,9,,,,4439,"[""17321""]","""""",Double
C02682,Ferricytochrome c3,,,,,[Fe+3],,2,,,,5651,[],"""""",Double
C02684,Ferrocytochrome c3,,,,,[Fe+2],,2,,,,5653,"[""17714""]","""""",Double
C18233,Ferricytochrome cL,,,,,[Fe+3],,4,,,,103061415,"[""81596""]","""""",Double
C18234,Ferrocytochrome cL,,,,,[Fe+2],,4,,,,103061416,"[""81597""]","""""",Double
C00828,Menaquinone,,,,,CC(C)=CCC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,,9,,,,4086,"[""16374""]","""""",Double
C05819,Menaquinol,,,,,CC(C)=CCC/C(C)=C/Cc1c(C)c(O)c2ccccc2c1O,,8,,,,8114,"[""18151""]","""""",Double
C10385,Plastoquinone-9,,,,,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=CC(=O)C(C)=C(C)C1=O,,1,,,,12571,"[""28377""]","""""",Double
C16695,Plastoquinol-9,,,,,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)c(C)c(C)c1O,,2,,,,51091017,"[""28026""]","""""",Double
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
C00002,ATP,,,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,,693,,,,3304,"[""15422""]","""""",Quadruple
C00008,ADP,,,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,,463,,,,3310,"[""16761""]","""""",Quadruple
C00020,AMP,,,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,,280,,,,3322,"[""16027""]","""""",Quadruple
C00212,Adenosine,,,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,,12,,,,3512,"[""16335""]","""""",Quadruple
C00044,GTP,,,,,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,,47,,,,3346,"[""15996""]","""""",Quadruple
C00035,GDP,,,,,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,,70,,,,3337,"[""17552""]","""""",Quadruple
C00144,GMP,,,,,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,,21,,,,3444,"[""165823"", ""17345""]","""""",Quadruple
C00387,Guanosine,,,,,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,,6,,,,3677,"[""16750""]","""""",Quadruple
C00063,CTP,,,,,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,,49,,,,3363,"[""17677""]","""""",Quadruple
C00112,CDP,,,,,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,,16,,,,3412,"[""17239""]","""""",Quadruple
C00055,CMP,,,,,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,,82,,,,3357,"[""17361""]","""""",Quadruple
C00475,Cytidine,,,,,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,,15,,,,3758,"[""17562""]","""""",Quadruple
C00075,UTP,,,,,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,,27,,,,3375,"[""15713""]","""""",Quadruple
C00015,UDP,,,,,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,,376,,,,3317,"[""17659""]","""""",Quadruple
C00105,UMP,,,,,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,,36,,,,3405,"[""16695""]","""""",Quadruple
C00299,Uridine,,,,,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,,15,,,,3593,"[""16704""]","""""",Quadruple
C00131,dATP,,,,,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,,14,,,,3431,"[""16284""]","""""",Quadruple
C00206,dADP,,,,,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1,,12,,,,3506,"[""16174""]","""""",Quadruple
C00360,dAMP,,,,,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,,3,,,,3651,"[""17713""]","""""",Quadruple
C00559,Deoxyadenosine,,,,,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,,4,,,,3839,"[""17256""]","""""",Quadruple
C00286,dGTP,,,,,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,,10,,,,3581,"[""16497""]","""""",Quadruple
C00361,dGDP,,,,,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,,6,,,,3652,"[""28862""]","""""",Quadruple
C00362,dGMP,,,,,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1,,4,,,,3653,"[""16192""]","""""",Quadruple
C00330,Deoxyguanosine,,,,,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,,4,,,,3624,"[""17172""]","""""",Quadruple
C00458,dCTP,,,,,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)n1,,9,,,,3742,"[""16311""]","""""",Quadruple
C00705,dCDP,,,,,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)n1,,6,,,,3972,"[""28846""]","""""",Quadruple
C00239,dCMP,,,,,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,,9,,,,3538,"[""15918""]","""""",Quadruple
